City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,14.01,41,5,4.25,NZ,1701651838
1,college,64.8569,-147.8028,-20.31,70,20,0.0,US,1701651840
2,brokopondo,4.75,-55.1667,26.53,75,97,3.58,SR,1701651842
3,port-aux-francais,-49.35,70.2167,4.5,81,12,14.81,TF,1701651843
4,aykhal,66.0,111.5,-38.59,99,60,2.46,RU,1701651845
5,lospalos,-8.5186,127.0025,29.9,60,37,3.52,TL,1701651846
6,puerto natales,-51.7236,-72.4875,4.42,98,58,1.82,CL,1701651848
7,albany,42.6001,-73.9662,5.3,93,100,0.89,US,1701651642
8,edinburgh of the seven seas,-37.0676,-12.3116,14.79,83,0,4.16,SH,1701651850
9,invercargill,-46.4,168.35,12.63,48,9,4.98,NZ,1701651852
10,jamestown,42.097,-79.2353,4.75,97,100,6.69,US,1701651853
11,adamstown,-25.066,-130.1015,22.88,80,100,4.99,PN,1701651854
12,bikenibeu village,1.3673,173.1241,31.98,70,40,3.6,KI,1701651856
13,luderitz,-26.6481,15.1594,15.98,72,0,8.46,NA,1701651857
14,kencong,-8.2833,113.3667,27.82,78,76,0.92,ID,1701651859
15,ilulissat,69.2167,-51.1,-4.99,68,100,2.57,GL,1701651860
16,geraldton,-28.7667,114.6,25.23,57,0,8.75,AU,1701651729
17,coatepec,19.45,-96.9667,17.79,97,100,0.95,MX,1701651863
18,magadan,59.5667,150.8,-21.86,80,34,1.77,RU,1701651864
19,san antonio de pale,-1.4014,5.6325,26.72,85,30,3.4,GQ,1701651866
20,vorgashor,67.5833,63.95,-26.51,96,100,1.91,RU,1701651868
21,valparaiso,-33.0393,-71.6273,15.8,51,0,2.57,CL,1701651869
22,tiksi,71.6872,128.8694,-28.05,99,100,3.76,RU,1701651871
23,west island,-12.1568,96.8225,26.99,74,40,5.14,CC,1701651873
24,palikir - national government center,6.9248,158.1611,31.41,70,100,5.14,FM,1701651875
25,olonkinbyen,70.9221,-8.7187,0.46,90,24,5.98,SJ,1701651877
26,lakatoro,-16.0999,167.4164,29.14,73,42,5.69,VU,1701651878
27,waitangi,-43.9535,-176.5597,11.57,74,100,9.81,NZ,1701651880
28,prado,-17.3411,-39.2208,25.19,85,0,4.59,BR,1701651881
29,kununurra,-15.7667,128.7333,34.99,46,12,2.06,AU,1701651763
30,erenhot,43.6475,111.9767,-6.95,78,3,3.78,CN,1701651885
